"excessive","/ɪkˈsesɪv; ekˈsesɪv/","/ɪkˈsesɪv; ekˈsesɪv/","adj. 过度的，过多的"
"pebble","/ˈpeb(ə)l/","/ˈpeb(ə)l/","n. 鹅卵石，砾石；水晶透镜<br>vt. 用卵石铺<br>adj. <非正式>（眼镜片）很厚的，凸起的"
"peculiarity","/pɪˌkjuːliˈærəti/","/pɪˌkjuːliˈærəti/","n. 特点，特性；古怪之处，怪癖；奇特，怪异"
"pedal","/ˈped(ə)l/","/ˈped(ə)l/","n. （自行车、汽车或机器的）脚踏板；(钢琴、风琴等的)踏板<br>v. 骑自行车前进；踩（自行车等的）踏板；（尤指以某种特别方式）踩动钢琴踏板<br>adj. 踏板的，脚踏的；脚的，关于脚的"
"pedestrian","/pəˈdestriən/","/pəˈdestriən/","n. 步行者，行人<br>adj. 平淡无奇的，乏味的；行人的，行人使用的；徒步的"
"peer","/pɪr/","/pɪə(r)/","n. 同龄人，同等地位的人，相匹敌的人；（英国）贵族<br>v. 凝视，费力地看；隐现；<古>看见；<古>匹敌"
"penalty","/ˈpenəlti/","/ˈpenəlti/","n. （因违反法律、规定或合同而受到的）处罚，刑罚；（行为、环境带来的）不利后果，苦难；（体育运动中对犯规者的）判罚，处罚；（足球、橄榄球及类似运动中的）罚球；（桥牌）（叫牌者未完成定约时的）罚分"
"pence","/pens/","/pens/","n. 便士"
"penguin","/ˈpeŋɡwɪn/","/ˈpeŋɡwɪn/","n. 企鹅；空军地勤人员"
"penicillin","/ˌpenɪˈsɪlɪn/","/ˌpenɪˈsɪlɪn/","n. 盘尼西林（青霉素）"
"penny","/ˈpeni/","/ˈpeni/","n. 便士；便士；分（美国和加拿大货币单位）；一小笔钱；一分一毫（用于强调没钱）；迪纳里厄斯（古罗马的金币或银币）"
"pension","/ˈpenʃən/","/ˈpenʃ(ə)n/","n. 养老金，退休金；（法国和其他一些欧洲国家的）廉价小旅店；<史>（给皇室宠臣、艺术家或学者以便他们能从事公益工作的）津贴，补助金<br>v. （尤指因年龄或疾病而）向（某人）支付养老金使其退休；（因陈旧或不再有用而）丢弃（某物）"
"pensive","/ˈpensɪv/","/ˈpensɪv/","adj. 沉思的，忧郁的；悲伤的，哀愁的"
"pepper","/ˈpepər/","/ˈpepə(r)/","n. 胡椒粉；辣椒，甜椒，灯笼椒；胡椒；辣椒粉；（棒球）热身投击球练习<br>v. （在食物上）撒胡椒粉；连续射击；在……上撒，使布满； （演讲、文章等）充满……"
"peppercorn","/ˈpepərkɔːrn/","/ˈpepəkɔːn/","n. 干胡椒；象征性租金；空有其名的象征性房租"
"perceive","/pərˈsiːv/","/pəˈsiːv/","vt. 认为，理解；察觉，注意到；意识到"
"perception","/pərˈsepʃ(ə)n/","/pəˈsepʃ(ə)n/","n. 看法，认识；感觉，感知；洞察力；<法律>（租金、农作物等的）收取，占有"
"percentage","/pərˈsentɪdʒ/","/pəˈsentɪdʒ/","n. 百分比，百分率；部分，比例；利润分成，提成；<非正式>利益，好处"
"perfume","/pərˈfjuːm/","/ˈpɜːfjuːm/","n. 香水；芳香，香味，馨香；香精，香料<br>v. 使香气弥漫；在……上撒香水，抹香水"
"permanent","/ˈpɜːrmənənt/","/ˈpɜːmənənt/","adj. 永久的，永恒的；（尤指问题或困难）不断出现的，一直存在的；（员工）终生的，长期的；（家庭住址）固定的<br>n. <美>烫发"
"persistent","/pərˈsɪstənt/","/pəˈsɪstənt/","adj. 执意的，坚持不懈的；持续的，反复出现的；（化学品，放射性）作用持久的，挥发慢的；（动植物某部位，如角、叶等）宿存的，不落的"
"personification","/pərˌsɑːnɪfɪˈkeɪʃn/","/pəˌsɒnɪfɪˈkeɪʃn/","n. 人格化；化身；拟人法（一种修辞手法）；象征"
"personnel","/ˌpɜːrsəˈnel/","/ˌpɜːsəˈnel/","n. （公司、组织或军队中的）全体人员，员工；人事部门<br>adj. 人员的，有关人事的"
"persuasive","/pərˈsweɪsɪv/","/pəˈsweɪsɪv/","adj. 有说服力的，能使人信服的"
"pessimism","/ˈpesɪmɪzəm/","/ˈpesɪmɪzəm/","n. 悲观，悲观情绪；（哲）悲观主义"
"pessimist","/ˈpesɪmɪst/","/ˈpesɪmɪst/","n. 悲观主义者"
"pest","/pest/","/pest/","n. 害虫，有害动物；<非正式>讨厌的人（或物）"
"pesticide","/ˈpestəsaɪd/","/ˈpestɪsaɪd/","n. 杀虫剂，农药"
"phase","/feɪz/","/feɪz/","n. （发展或变化的）阶段，时期；做出某种行为的短时期；（动物生活周期或年周期的）阶段，期；（月亮的）位相，盈亏；同步，协调；（化）相；（动）（由遗传或季节引起的）动物颜色变化（期）；（物理）相位，相角；（线圈的）匝，（多相电机或电路的）连接；（语言学）（系统语法用语）相（指链接动词与后续动词的关系）；相结构（含有链接动词和后续动词的结构）<br>v. 分阶段进行；（物理）使相位同步，使定相"
"PhD","/ˌpiː eɪtʃ ˈdiː/","/ˌpiː eɪtʃ ˈdiː/","abbr. 博士学位；哲学博士学位"
"phenomenon","/fəˈnɑːmɪnən/","/fəˈnɒmɪnən/","n. 现象；杰出的人，非凡的人（或事物）；（哲学）现象"
"phenomena","/fəˈnɑːmɪnə/","/fəˈnɒmɪnə/","n. 现象"
"philosopher","/fəˈlɑːsəfər/","/fəˈlɒsəfə(r)/","n. 哲学家，哲人；思想深刻的人"
"philosophy","/fəˈlɑːsəfi/","/fəˈlɒsəfi/","n. 哲学；哲学体系，思想体系；人生哲学，生活（工作）准则；（某一知识或经验领域的）理论基础研究，基本原理"
"photocopy","/ˈfoʊtoʊkɑːpi/","/ˈfəʊtəʊkɒpi/","n. 复印件；影印<br>v. 影印，复印"
"photoelectric","/ˌfoʊtoʊɪˈlektrɪk/","/ˌfəʊtəʊɪˈlektrɪk/","adj. [电子] 光电的"
"phrase","/freɪz/","/freɪz/","n. 短语，词组；惯用语，习语；乐句；（芭蕾）舞句<br>v. 用……方式表达，以……措辞表达；把（乐曲）分成短句"
"physician","/fɪˈzɪʃ(ə)n/","/fɪˈzɪʃ(ə)n/","n. 医生，（尤指）内科医生；抚慰者"
"physiology","/ˌfɪziˈɑːlədʒi/","/ˌfɪziˈɒlədʒi/","n. 生理学；生理机能"
"pickpocket","/ˈpɪkpɑːkɪt/","/ˈpɪkpɒkɪt/","n. 扒手"
"pillow","/ˈpɪloʊ/","/ˈpɪləʊ/","n. 枕头；蕾丝枕头；<美>坐垫，靠垫<br>v. 将（头）枕在……上，枕着（某物）；<文>为……当枕头"
"pin","/pɪn/","/pɪn/","n. （尤指做衣服时固定布料用的）别针，大头针；<美>胸针，饰针；徽章，像章；钉，楔，销，栓；（接骨用的）钢钉，钢针；（插头的）管脚；（手榴弹的）保险针，保险销；（高尔夫球场地内的）旗杆；（保龄球）瓶柱；（人或动物的）双腿；（棋）牵制；（乐）弦轴，琴轸；<英，史>加仑啤酒桶；个人身份识别号码（用于在自动取款机上取款的私人密码）<br>v. （用钉子）钉住，别住；按住，使不能动弹；（棋）牵制"
"pine","/paɪn/","/paɪn/","n. 松树；松木；……松（用于其他科针叶类树木名称中）；……松（用于某方面类似松树而与松树无关的植物名称中）；有松针香味；<非正式>凤梨<br>v. （因死亡、离别） 难过，悲伤；苦苦思念；<古>为……悲哀，哀悼；渴望，苦苦盼望（尤指不太可能拥有的东西）"
"pineapple","/ˈpaɪnæp(ə)l/","/ˈpaɪnæp(ə)l/","n. [园艺] 菠萝；[园艺] 凤梨<br>adj. 凤梨科的"
"pioneer","/ˌpaɪəˈnɪr/","/ˌpaɪəˈnɪə(r)/","n. 拓荒者；先锋；（前苏联等共产党国家的）少年先锋队队员；（先头部队的）工兵；<爱尔兰>（天主教禁欲团体）完全禁欲先锋联盟的成员；先锋号<br>adj. 先驱的；拓荒的<br>v. 做先锋，倡导；开辟（道路）"
"pipe","/paɪp/","/paɪp/","n. 管子，管道；烟斗；管乐器；（管风琴的）音管；（苏格兰的）风笛；（人或动物的）叫声，歌声；葡萄酒桶；（计算机）管线命令；符号""|""<br>v. 用管道运输；传送，播送（音乐、录音）；用管乐器吹奏；（吹长口哨）召集，召唤；高声说话，尖声唱；在食品（尤指蛋糕）上裱花；（为衣服或室内陈设品）拷边，滚边；插枝繁殖"
"pirate","/ˈpaɪrət/","/ˈpaɪrət/","n. 海盗，海上劫掠者；盗版者，侵犯专利权者；非法制作电视或广播节目的人（或组织）；道德败坏者，违法者<br>v. 盗印，窃用；劫掠（船只）；<旧>劫掠（船只）<br>adj. 盗版的"
"pitch","/pɪtʃ/","/pɪtʃ/","n. <英>体育场地，球场；程度，强度；音准，音高；推销用语；投球；沥青，柏油；（船或飞机的）颠簸；倾斜度，高度；<英>摊位，（街头艺人的）表演场所；（高尔夫）下旋高球；<英>露营地；（技）螺距，节距<br>v. 扔，抛，掷；（棒球中）投（球）；击地，（使球）定点落地；重跌，坠落；（船或飞机）颠簸；把……定于某水平；使（产品）针对，面向；推销；为……定音高；向下倾斜；扎，搭建；（高尔夫）击下旋高球；用石头铺（路）；（酿酒用语）给（麦芽汁）加酵母；<古或西印度>盖上沥青，涂上沥青"
"pity","/ˈpɪti/","/ˈpɪti/","n. 同情，怜悯；可惜的事，遗憾的事；仁慈，慈悲<br>v. 同情，怜悯"
"plain","/pleɪn/","/pleɪn/","adj. 无装饰的，朴素的；单色的，无花纹的；单纯的，不掺杂的；显而易见的；（书面或口头用法）表达清楚的；直截了当的，坦率的；相貌平平的；普通的；直呼其名的；完全的；（编织）平针的<br>adv. 完全地，简直；明白地，不含糊地<br>n. （大）平原；（编织的）平针；朴实无华的东西"
"plainly","/ˈpleɪnli/","/ˈpleɪnli/","adv. 明白地；坦率地；平坦地；朴素地"
"plasma","/ˈplæzmə/","/ˈplæzmə/","n. 血浆；等离子（气）体；原浆，原生质；深绿玉髓；等离子显示屏；等离子电视机"
"plot","/plɑːt/","/plɒt/","n. 阴谋，密谋；情节；（专用的）小块地；（表现两个变量关系的）图表；<美>图表，地图；<美>底层平面图<br>v. 密谋，暗中策划；（在地图上）画出，标出；构思（情节）；绘制（曲线）；绘制（图表）；在图表上标记，布置；用图表说明；计划，制订"
"plough","/plaʊ/","/plaʊ/","v. 耕，犁；（用或仿佛用犁）划出（沟或线）；（用犁）挖出；（轮船，木船）穿过（水域），破浪前进；奋力前进；（不顾困难或要求停止的警告而）继续坚持；<美>（用扫雪机）从（道路）清除积雪；（尤指车辆）猛撞<br>n. 犁；犁过的地，耕地；<美>雪犁，扫雪机；北斗七星；北斗七星"
"plug","/plʌɡ/","/plʌɡ/","n. 插头；插座；（洗涤槽或浴缸的）塞子；堵塞物；棉球，药棉；螺钉楔子；（车辆引擎的）火花塞；推销，宣传；（压实的）块，口嚼烟；<美，非正式>（婴儿的）橡皮奶头；岩颈；（供移植的）幼苗，草皮；鱼饵；<美>消防栓；<美，非正式>疲惫的马<br>v. 堵，塞；补足；接电源，插插头；推广，宣传；<美，非正式>射击，射杀；<非正式>艰难地走，埋头于"
"pneumonia","/nuːˈmoʊniə/","/njuːˈməʊniə/","n. 肺炎"
"pocket","/ˈpɑːkɪt/","/ˈpɒkɪt/","n. 衣袋，口袋；钱财，财力；（附在某物上的）小口袋，小容器；<南非>（用作贸易计量的）（农产品）袋；（与周围不同的）小群体，小区域；（台球）网袋，球袋；岩石或地层中充满矿石或其他物质的空洞<br>v. 把……放入口袋；把……装进腰包，将……据为己有；赚取，获得（钱财）；击（球）入袋；收敛，抑制（感情）；包，围<br>adj. 袖珍的，袋装的"
"poetry","/ˈpoʊətri/","/ˈpəʊətri/","n. 诗歌；诗一般的美丽，诗的意境；（学校或大学里的）诗歌课"
"polar","/ˈpoʊlər/","/ˈpəʊlə(r)/","adj. 极地的，来自极地的；截然不同的；磁极的；（天体）极性的，极地的；（细胞，器官，身体部分）极的；（液体，尤指溶剂）由偶极矩分子组成的；（固体）离子的；（几何）（球体）轴极的<br>n. （几何）极线；极光双子星"
"pole","/poʊl/","/pəʊl/","n. 杆，柱；地极；截然相反的两极之一；磁极；滑雪杖；简易鱼竿；直干幼树；电极；车辕；（几何）（球体的）轴极；（几何）（极坐标的）极点；（细胞、器官、身体部分的）极；杆（尤指用来测量土地长度的单位）<br>v. 用篙撑（船）<br>n. 波兰人"
"politics","/ˈpɑːlətɪks/","/ˈpɒlətɪks/","n. 政治，政治活动（事务）；政治事业；政治学；(某团体、组织等内的）争权活动，权术；政治信仰，政治观点；（尤指跟社会权力和地位有关的领域、理论或活动的）主张，观（念）；政治思想体系，政治局势"
"pollinate","/ˈpɑːləneɪt/","/ˈpɒləneɪt/","vt. 对……授粉"
"pollutant","/pəˈluːtənt/","/pəˈluːtənt/","n. 污染物"
"pond","/pɑːnd/","/pɒnd/","n. （人工或自然的）池塘；<非正式>大西洋<br>v. 拦截（或筑坝堵塞）（流水或其他流动液体）以形成小湖；（流水或其他液体）形成小湖"
"pool","/puːl/","/puːl/","n. 游泳池；池塘，水坑；一小片（液体或光）；（河的）深水处，深潭；后备人员，备用物品；共用的资源（或资金）；（有相同职业或共同从事某项活动的）人群；赌球（或其他体育比赛），赌注；<英>足球普尔；落袋台球；垄断性联营；预赛组<br>v. 集中（资源、钱财等）以备共用；积水成洼；（血液）在静脉中淤积"
"popcorn","/ˈpɑːpkɔːrn/","/ˈpɒpkɔːn/","n. 爆米花，爆玉米花"
"porridge","/ˈpɔːrɪdʒ/","/ˈpɒrɪdʒ/","n. <英>燕麦粥，麦片粥；<英，非正式>关押期，监禁期"
"porter","/ˈpɔːrtər/","/ˈpɔːtə(r)/","n. （火车站、机场等的）行李搬运工人，脚夫；<英>（市场的）搬运工；<英>（酒店、医院等的）门房，守门人；<美>（火车卧铺车厢的）乘务员；<英>（医院的）护工，勤杂工；<美>（大楼的）杂物工；（登山探险中的）补给搬运员；<旧>黑啤酒"
"portion","/ˈpɔːrʃ(ə)n/","/ˈpɔːʃ(ə)n/","n. （某物的）一部分；（尤指餐馆中食物的）一份，一客；（责任、过失、职责等的）一份，一部分；<法律>（根据法律赠与或遗留给继承人的）一份财产；<古> 命运，天数<br>v. 分配；<古> 给（新娘）嫁妆"
"portrait","/ˈpɔːrtrət/","/ˈpɔːtreɪt/","n. （尤指只刻画脸、头和肩部的）肖像，照片，雕像；描绘，描述；（文件的）纵向打印格式<br>adj. （纸张、页面、照片等）竖式的，纵向的"
"pose","/poʊz/","/pəʊz/","v. 造成，引起（威胁、危险、问题等）；提出（问题）；（为照相、画像等）摆好姿势；假扮，冒充；（举止或穿戴）装腔作势，招摇过市；<古>把……难住，使为难<br>n. （为拍照、画像等摆的）姿势；故作姿态，装腔作势"
"possess","/pəˈzes/","/pəˈzes/","v. <正式> 拥有，持有；具有（品质或能力）；（尤指邪恶的鬼魅或精灵）缠住，迷住；受（感情）支配，受（感情）影响；了解，懂得;"
"possession","/pəˈzeʃn/","/pəˈzeʃ(ə)n/","n. <正式> 拥有，持有；个人财产，所有物；持有违禁物，私藏毒品（或武器）；（对球的）控制，球权；进攻；领地，殖民地；鬼魂附体，着魔；（观点或情感的）支配，控制"
"postscript","/ˈpoʊstskrɪpt/","/ˈpəʊstskrɪpt/","n. 附言；又及"
"pot","/pɑːt/","/pɒt/","n. 锅；（盛食品的）罐，瓶；壶；花盆；陶盆，陶罐，碗；一罐，一壶（的量）；（纸牌游戏的）全部赌注；凑集的资金；<非正式>大麻；<非正式>大量；大肚子；（球等的）击球入袋；幼儿用便盆；<非正式>发动机气缸；<非正式>（体育运动的）奖品，奖杯；射击；（主要用于橄榄球）射门<br>v. 把（植物）栽入盆中；将（食物）用密封罐煮（或储存）；射杀（动物）；击（球）入袋；制陶；<非正式>成功获得，赢得；把（电子元件，电路）密封于绝缘材料中；<英>使（小孩）坐便盆；得（分）"
"pottery","/ˈpɑːtəri/","/ˈpɒtəri/","n. 陶器；陶土，黏土；制陶，陶艺；陶瓷厂；陶瓷之都（斯塔福德郡特伦特河畔斯托克市周边地区，为英国陶瓷工业基地）"
"pouch","/paʊtʃ/","/paʊtʃ/","n. 小袋子，荷包；邮袋，文件袋；（袋鼠、考拉等的）育儿袋；（啮齿动物的）颊袋；眼袋；（背包等的）侧袋<br>v. 把……放入袋中；<非正式>拥有；（板球）接（球）；使（衣服的一部分）悬垂如袋；（使）成袋状"
"powder","/ˈpaʊdər/","/ˈpaʊdə(r)/","n. 粉，粉末；扑面粉，美容粉；细雪，粉状雪；火药，炸药<br>v. 往（脸或身体）上搽粉；撒粉（状物）于（表面），以粉（状物）覆盖；使（某物）成粉状；变成粉末"
"prairie","/ˈpreri/","/ˈpreəri/","n. （北美的）大草原；蒸气火车头"
"prayer","/prer/","/preə(r)/","n. 祷文，祷词；祈祷，祷告；祈祷仪式，祈祷会；愿望，祈望；极小的机会，极小的可能性"
"precious","/ˈpreʃəs/","/ˈpreʃəs/","adj. 宝贵的，珍贵的；珍视的，重要的；珍稀的，珍奇的；<非正式>（表示气愤）宝贝似的；（言行）矫揉造作的，过分讲究的；<美，非正式>可爱的，讨人喜欢的<br>n. （用作称呼）宝贝，亲爱的<br>adv. 非常，极其"
"precise","/prɪˈsaɪs/","/prɪˈsaɪs/","adj. 精确的，准确的；恰好的，确切的；（人）严格的，一丝不苟的"
"preferable","/ˈprefrəb(ə)l/","/ˈprefrəb(ə)l/","adj. 更好的，更合适的"
"pregnant","/ˈpreɡnənt/","/ˈpreɡnənt/","adj. 怀孕的，妊娠的；意味深长的，意义重大的"
"prejudice","/ˈpredʒədɪs/","/ˈpredʒədɪs/","n. 偏见，成见，歧视；<法律>损害，侵害<br>v. 使有偏见，使有成见； 损害，不利于"
"prehistoric","/ˌpriːhɪˈstɔːrɪk/","/ˌpriːhɪˈstɒrɪk/","adj. 史前的，有文字记载以前的；<非正式>古老的，过时的"
"prejudiced","/ˈpredʒədɪst/","/ˈpredʒədɪst/","adj. 怀偏见的；有成见的；偏颇的<br>v. 损害；使抱偏见"
"preliminary","/prɪˈlɪmɪneri/","/prɪˈlɪmɪnəri/","adj. 初步的，预备的<br>n. 初步行动，准备工作；预赛，预试"
"premier","/prɪˈmɪr/","/ˈpremiə(r)/","adj. 首要的，最好的；最早的，最初的<br>n. 总理，首相；（加拿大的）省总理，地方总理；（澳大利亚州或地区的）省长"
"preoccupied","/priˈɑːkjupaɪd/","/priˈɒkjupaɪd/","adj. 全神贯注的，心事重重的；被先占的<br>v. 使全神贯注，占据（某人的思想）；提前占据"
"prescription","/prɪˈskrɪpʃ(ə)n/","/prɪˈskrɪpʃn/","n. 处方，药方；处方药；开处方，开药方；<正式>解决方法，诀窍；<法律>取得的时效（根据长期或不确定时期持续使用或以长期习惯为基础确立的要求权）<br>adj. 凭处方方可购买的"
"presence","/ˈprez(ə)ns/","/ˈprez(ə)ns/","n. 出席，存在；<正式>（某人的）所在地方；<文>感觉中的存在物（如鬼魂）；驻扎部队，驻扎的警力；风度，气质；（公司在某地的）工人（或产品），势力"
"presenter","/prɪˈzentər/","/prɪˈzentə(r)/","n. （电视或广播节目的）主持人，主播；（仪式上的）颁奖人；演讲人，发言人；提出者；推荐者；赠送者；任命者"
"preserve","/prɪˈzɜːrv/","/prɪˈzɜːv/","v. 保护，维护；保持，维持；腌制，保存（食物）；禁止他人捕猎<br>n. 果酱，腌菜；（某人或某个团体的）专属领域，独有活动；动物保护区，外人禁入的猎地"
"preview","/ˈpriːvjuː/","/ˈpriːvjuː/","n. 预映，预演，预展；预告片；（预先看电影、戏剧、书等后所作的）预告性述评；预审，预视；预览样品；预兆；预测；（计算机）打印预览<br>v. 为（电影等）写预评；预先播映（或展示），预告；预看，预听；概述，扼要介绍；预审，预观；预测"
"prey","/preɪ/","/preɪ/","n. 猎物，捕获物；受害者，受骗者；<古>掠夺品<br>v. 捕食；欺凌，坑害（尤指弱者）；不断困扰，折磨"
"priceless","/ˈpraɪsləs/","/ˈpraɪsləs/","adj. 无价的；非常有用的；<非正式> 十分有趣的，极为可笑的"
"priest","/priːst/","/priːst/","n. 牧师，神职人员；木渔槌（垂钓时用以打死已上钩的鱼）<br>v. <正式>任命……为司铎（或祭司）"
"chiefly","/ˈtʃiːfli/","/ˈtʃiːfli/","adv. 主要地；首先"
"primate","/ˈpraɪmeɪt/","/ˈpraɪmeɪt/","n. 灵长目动物（包括人、猴子等）；大主教；首领<br>adj. 灵长目动物的；大主教的"
"primitive","/ˈprɪmətɪv/","/ˈprɪmətɪv/","adj. 原始的，远古的；（器物等）粗糙的，简陋的；（人、动物或植物发展）早期的；（行为，思想，情感）本能的，自然的；（艺术风格）朴实无华的；原来的，原有的；（语言学）根词的，非派生的；（数）（代数或几何表达式）本原的；（生）原生的<br>n. <旧>原始人，未开化的土人；原始派艺术家（或其作品）；文艺复兴前的艺术家（或作品），模仿文艺复兴前艺术风格的现代画家；早期风格物品；词根，原（词）素；（数）基本式，初基；（计算机）图元，原语"
"principle","/ˈprɪnsəp(ə)l/","/ˈprɪnsəp(ə)l/","n. （行为）准则，（道德）原则；道义，正直；基本原则，基本法则；（机器等或自然界的）原理，定律；（宗教或政治的）主义，信条；起源，本原；本质，实质；（化）成分，要素"
"prior","/ˈpraɪər/","/ˈpraɪə(r)/","adj. 先前的，事先的；<正式>优先的，更重要的；<正式>在前面的<br>n. <美，非正式>犯罪前科；小修道院院长；大修道院副院长；托钵会会长"
"prisoner","/ˈprɪz(ə)nər/","/ˈprɪz(ə)nə(r)/","n. 犯人，囚犯；俘虏，战俘；为……所困的人"
"privilege","/ˈprɪvəlɪdʒ/","/ˈprɪvəlɪdʒ/","n. 特权，特殊待遇；荣幸，光荣；（富人或上层阶级的）权势；（律师、医生及其他专业人士的）保密权；言行免责权（尤指议员的权利）；<史>（授予个人，公司，某地的）特许经营权；（生活）优越<br>v. <正式> 给予特权，特别优待；特免，免除（某人）"
"probe","/proʊb/","/prəʊb/","v. 调查，打探，探究；（用手指、细长工具等）探查，查看；搜寻，探索；侦察，侦探（敌情）<br>n. 探究，详尽调查；（医生和科学家用的）探针； 航天探测器，太空探测器；探测仪，传感器，取样器"
"proceed","/proʊˈsiːd/","/prəˈsiːd/","v. 开始行动，开展；<正式>继续做（或从事、进行）；（完成其他事后）继续做某事；<正式>行进，前往；起诉某人；来自，出自<br>n. （某个事件或活动的）收入，收益"
"procedure","/prəˈsiːdʒər/","/prəˈsiːdʒə(r)/","n. 手续，步骤；（商业、法律或政治上的）程序；外科手术；（电脑的）应用程式"
"proficiency","/prəˈfɪʃ(ə)nsi/","/prəˈfɪʃ(ə)nsi/","n. 熟练，精通"
"profile","/ˈproʊfaɪl/","/ˈprəʊfaɪl/","n. （人头部的）侧面（像），侧影；（某物的）外形，轮廓；（人、团体或组织的）简介，概况；（人或组织的）形象，姿态；纵断面，剖面；（地球表面纵断面的）轮廓（如河流走向）；（舞台的）平面布景；（以数量形式记录事物特点的）曲线图，数据图表；（记载个人心理或行为特点、喜好等的）档案<br>v. 概述，扼要介绍；给……画侧面像，显出……侧面轮廓；显出……的轮廓；（尤指用模板）铣出轮廓，使……成形"
"profitable","/ˈprɑːfɪtəb(ə)l/","/ˈprɒfɪtəb(ə)l/","adj. 盈利的，有利可图的；有益的，有用的"
"profound","/prəˈfaʊnd/","/prəˈfaʊnd/","adj. （影响）深刻的，极大的；（感情）强烈的，深切的；（思想）深邃的，（见解）深刻的；<文>深的，深处的；完全的；艰深的，玄奥的；（疾病，残疾）严重的"
"progression","/prəˈɡreʃn/","/prəˈɡreʃ(ə)n/","n. 发展，前进；一系列；（从一音或和弦进至另一音或和弦的）进行；占卜术"
"prohibit","/prəˈhɪbɪt/","/prəˈhɪbɪt/","v. （通过法律、条例等）禁止；阻止，使不可能"
"forbid","/fərˈbɪd/","/fəˈbɪd/","v. 禁止；使不可能，妨碍"
"prohibition","/ˌproʊɪˈbɪʃ(ə)n/","/ˌprəʊɪˈbɪʃ(ə)n/","n. 禁令，禁律；禁止；<英>（上级法院禁止下级法院对无权受理案件审理的）诉讼中止令"
"prominent","/ˈprɑːmɪnənt/","/ˈprɒmɪnənt/","adj. 重要的，著名的；显眼的，突出的；突起的，高耸的<br>n. 舟蛾"
"promising","/ˈprɑːmɪsɪŋ/","/ˈprɒmɪsɪŋ/","adj. 有希望的，有前途的<br>v. 承诺，答应；使很可能，预示"
"prop","/prɑːp/","/prɒp/","n. 支柱，支撑物；（戏剧或电影中的）道具；<旧，非正式> 道具管理员；支持者，后盾；<非正式> 螺旋桨，推进器；（英式橄榄球运动的）前排边锋；（本身没有具体意义但能使句法完整的）结构词；（马快跑时的）骤停<br>v. 支撑，倚靠；<澳>（尤指马等挺直前腿）骤停；用……撑住（某物）"
"proportion","/prəˈpɔːrʃ(ə)n/","/prəˈpɔːʃ(ə)n/","n. 部分，份额；比例；正确的比例，均衡；大小，程度；（事情的）重要性，严重性；等比关系<br>v. <正式> 使（某物）成比例，使相称；分摊"
"proposal","/prəˈpoʊz(ə)l/","/prəˈpəʊz(ə)l/","n. 提议，建议；提案；（计划、建议等的）提出；求婚"
"pros and cons","-","-","利弊：对某事物的赞成和反对的论点。<br>优点和缺点：某事物的好处和坏处。"
"prose","/proʊz/","/prəʊz/","n. 散文，白话文；（尤指待翻译的）一段散文；平淡乏味的文章（或话语，表达法）<br>v. 冗长乏味地说；<旧> 把……写成散文，把……改写成散文；写散文<br>adj. 散文的，散文式的；平凡的，乏味的"
"prospect","/ˈprɑːspekt/","/ˈprɒspekt/","n. 可能性，希望；预期，展望；（尤指事业的）成功机会，前景；有望成功的人，有前途的人；可能的顾客，潜在的主顾；<正式>（尤指从高处看到的）景象，景色；潜在矿藏或矿床<br>v. 勘探，勘察；寻找（商业机会）"
"prosperous","/ˈprɑːspərəs/","/ˈprɒspərəs/","adj. 繁荣的，富足的"
"protein","/ˈproʊtiːn/","/ˈprəʊtiːn/","n. 蛋白质，朊<br>adj. 蛋白质的"
"protest","/ˈproʊtest/","/ˈprəʊtest/","n. 抗议，反对；抗议活动；声明，断言；<法律>（多指来自公证人的）拒付证书<br>v. （公开）反对，抗议；坚决表示，严正申明；<法律> 声明拒付（账单），拒付"
"provoke","/prəˈvoʊk/","/prəˈvəʊk/","v. 激起，引起；激励，刺激；挑衅，激怒"
"pub","/pʌb/","/pʌb/","n. 酒吧，酒馆；酒店，旅馆；路人局（游戏术语）<br>abbr.  公众的；公开的；出版，发行；出版物，发行物；（信息的） 刊登，公布 ；（媒体的）关注，报道；宣传业，广告行业；引起公众关注的事物；宣传， 推广<br>v. <非正式>时常出入于酒吧，泡酒吧"
"pudding","/ˈpʊdɪŋ/","/ˈpʊdɪŋ/","n. 布丁（用大米、面包等做成的甜食）；<美>（餐后）冷布丁（一种黏稠的乳脂状甜食）；<英>（餐末的）甜食，甜点；<英>肉馅布丁；<英>血香肠，黑香肠；<英，非正式>矮胖子，呆头呆脑的人"
"puff","/pʌf/","/pʌf/","v. 吸，抽（烟、烟斗等）；吹，喷出；（尤指跑步、攀登之后）气喘吁吁，喘息；喷着汽（或烟）移动；（尤指显得很愚蠢地）咆哮，怒吼；膨胀；吹捧<br>n. 吸烟；（烟、气等的）一缕；（空气或蒸汽突然喷射发出的）噗的一声；（蒸汽，烟雾的）一喷；吐气，喘气；（充足的）气息，气力；泡芙；吹捧文字；<英>（尤指夸大产品价值的）广告；（裙子等的）泡泡裥；蓬松隆起的卷绕发型；<北美>鸭绒被；粉扑"
"pulse","/pʌls/","/pʌls/","n. 脉搏，脉率； 强劲的音乐节拍，律动；（声波、光波或电流的）脉冲；（生化）（供细胞培养的）冲量；<文> 冲动；共有立场，心态；（喻）（活力或组织的）核心；（可食用的）豆子<br>v. （有节奏地）搏动，跳动；产生节奏；洋溢着，充满（激情等）；用脉冲调制（波，光束）；应用脉冲信号于（装置）；（生化）用同位素脉冲标记（培养中的细胞）；有节奏地驱动（食物搅拌机）"
